BID,1691509352161,1691509352029,8680918774,8680918806,245.10000000,736.04000000,DELTA
BID,1691509352161,1691509352029,8680918774,8680918806,245.00000000,663.07100000,DELTA
BID,1691509352161,1691509352029,8680918774,8680918806,244.90000000,540.76100000,DELTA
BID,1691509352161,1691509352029,8680918774,8680918806,244.70000000,672.26800000,DELTA
BID,1691509352161,1691509352029,8680918774,8680918806,244.60000000,1024.69200000,DELTA
BID,1691509352161,1691509352029,8680918774,8680918806,244.50000000,1481.46900000,DELTA
ASK,1691509352271,1691509352129,8680918807,8680918859,245.20000000,789.63100000,DELTA
ASK,1691509352271,1691509352129,8680918807,8680918859,245.30000000,723.97900000,DELTA
ASK,1691509352271,1691509352129,8680918807,8680918859,245.50000000,424.02900000,DELTA
ASK,1691509352271,1691509352129,8680918807,8680918859,245.60000000,473.64100000,DELTA
ASK,1691509352271,1691509352129,8680918807,8680918859,245.70000000,885.19500000,DELTA
ASK,1691509352271,1691509352129,8680918807,8680918859,245.80000000,381.14500000,DELTA
BID,1691509352271,1691509352129,8680918807,8680918859,245.10000000,419.08000000,DELTA
BID,1691509352271,1691509352129,8680918807,8680918859,245.00000000,622.36400000,DELTA
BID,1691509352271,1691509352129,8680918807,8680918859,244.90000000,541.50400000,DELTA
BID,1691509352271,1691509352129,8680918807,8680918859,244.80000000,470.25300000,DELTA
BID,1691509352271,1691509352129,8680918807,8680918859,244.60000000,1119.35700000,DELTA
BID,1691509352271,1691509352129,8680918807,8680918859,244.50000000,1509.00300000,DELTA
ASK,1691509352342,1691509352229,8680918860,8680918891,245.20000000,798.07800000,DELTA
ASK,1691509352342,1691509352229,8680918860,8680918891,245.30000000,835.34300000,DELTA
ASK,1691509352342,1691509352229,8680918860,8680918891,245.40000000,386.69300000,DELTA
ASK,1691509352342,1691509352229,8680918860,8680918891,245.50000000,435.47900000,DELTA
BID,1691509352342,1691509352229,8680918860,8680918891,245.10000000,421.74800000,DELTA
BID,1691509352342,1691509352229,8680918860,8680918891,245.00000000,674.53200000,DELTA
BID,1691509352342,1691509352229,8680918860,8680918891,244.90000000,463.02000000,DELTA
BID,1691509352342,1691509352229,8680918860,8680918891,244.80000000,573.66700000,DELTA
BID,1691509352342,1691509352229,8680918860,8680918891,244.70000000,676.37700000,DELTA
BID,1691509352342,1691509352229,8680918860,8680918891,244.60000000,1122.51400000,DELTA
ASK,1691509352438,1691509352329,8680918892,8680918914,245.20000000,796.89500000,DELTA
ASK,1691509352438,1691509352329,8680918892,8680918914,245.30000000,842.81700000,DELTA
ASK,1691509352438,1691509352329,8680918892,8680918914,245.40000000,378.69300000,DELTA
ASK,1691509352438,1691509352329,8680918892,8680918914,245.50000000,446.83000000,DELTA
ASK,1691509352438,1691509352329,8680918892,8680918914,245.60000000,462.24900000,DELTA
BID,1691509352438,1691509352329,8680918892,8680918914,245.10000000,421.74800000,DELTA
BID,1691509352438,1691509352329,8680918892,8680918914,245.00000000,663.42200000,DELTA
BID,1691509352438,1691509352329,8680918892,8680918914,244.90000000,437.62500000,DELTA
BID,1691509352438,1691509352329,8680918892,8680918914,244.80000000,601.78800000,DELTA
BID,1691509352438,1691509352329,8680918892,8680918914,244.70000000,672.26800000,DELTA
ASK,1691509352542,1691509352428,8680918915,8680918924,245.40000000,382.69300000,DELTA
BID,1691509352542,1691509352428,8680918915,8680918924,245.10000000,421.76900000,DELTA
BID,1691509352542,1691509352428,8680918915,8680918924,245.00000000,668.44200000,DELTA
BID,1691509352542,1691509352428,8680918915,8680918924,244.90000000,440.41800000,DELTA
ASK,1691509352637,1691509352529,8680918925,8680918932,245.20000000,797.34800000,DELTA
ASK,1691509352637,1691509352529,8680918925,8680918932,245.30000000,858.46700000,DELTA
ASK,1691509352637,1691509352529,8680918925,8680918932,245.40000000,366.69300000,DELTA
BID,1691509352637,1691509352529,8680918925,8680918932,245.10000000,431.76900000,DELTA
BID,1691509352637,1691509352529,8680918925,8680918932,245.00000000,669.41400000,DELTA
BID,1691509352637,1691509352529,8680918925,8680918932,239.80000000,26.38000000,DELTA
